,S,I,R
2021-05-23,,12142.0,
2021-05-24,,11933.0,
2021-05-25,,11855.0,
2021-05-26,,12101.0,
2021-05-27,,12089.0,
2021-05-28,,11986.0,
2021-05-29,,11810.0,
2021-05-30,,11460.0,
2021-05-31,,11412.0,
2021-06-01,,11809.0,
2021-06-02,,12246.0,
2021-06-03,,12345.0,
2021-06-04,,11900.0,
2021-06-05,,11361.0,
2021-06-06,,10776.0,
2021-06-07,,10122.0,
